iter	Passed	Remaining
0	142	142624
1	146	73046
2	150	49980
3	155	38727
4	160	31893
5	165	27348
6	168	23891
7	171	21274
8	173	19134
9	175	17414
10	178	16004
11	185	15286
12	189	14418
13	193	13607
14	199	13087
15	203	12538
16	206	11963
17	211	11540
18	215	11152
19	219	10749
20	222	10371
21	226	10048
22	229	9759
23	232	9474
24	235	9202
25	239	8976
26	243	8778
27	247	8580
28	250	8375
29	255	8268
30	259	8100
31	262	7934
32	265	7775
33	269	7662
34	272	7518
35	275	7377
36	280	7297
37	283	7189
38	287	7075
39	289	6959
40	294	6895
41	298	6803
42	301	6708
43	304	6610
44	309	6562
45	312	6488
46	316	6413
47	322	6395
48	327	6356
49	331	6291
50	333	6212
51	337	6145
52	340	6085
53	343	6010
54	346	5945
55	352	5938
56	355	5884
57	358	5825
58	363	5798
59	367	5753
60	370	5697
61	372	5640
62	378	5629
63	381	5581
64	384	5537
65	387	5487
66	391	5453
67	394	5402
68	397	5358
69	400	5318
70	404	5293
71	408	5269
72	411	5231
73	415	5193
74	419	5175
75	423	5147
76	427	5118
77	429	5081
78	433	5055
79	436	5023
80	439	4991
81	443	4959
82	448	4954
83	451	4921
84	453	4883
85	456	4854
86	459	4819
87	463	4798
88	466	4774
89	469	4742
90	472	4720
91	476	4701
92	479	4675
93	482	4647
94	486	4631
95	489	4609
96	492	4587
97	495	4562
98	498	4535
99	503	4527
100	506	4509
101	508	4475
102	511	4455
103	514	4434
104	518	4416
105	521	4394
106	524	4380
107	528	4368
108	532	4351
109	534	4326
110	538	4311
111	542	4298
112	545	4282
113	548	4260
114	552	4250
115	555	4231
116	558	4214
117	561	4196
118	563	4174
119	567	4160
120	571	4154
121	574	4135
122	576	4109
123	580	4099
124	583	4086
125	586	4071
126	589	4052
127	591	4030
128	595	4018
129	598	4008
130	601	3991
131	604	3974
132	609	3971
133	612	3958
134	616	3947
135	619	3933
136	623	3929
137	627	3917
138	630	3903
139	633	3891
140	637	3882
141	640	3870
142	643	3856
143	647	3847
144	651	3840
145	654	3829
146	658	3821
147	661	3810
148	665	3801
149	669	3793
150	672	3782
151	678	3783
152	681	3771
153	683	3757
154	687	3745
155	690	3735
156	694	3727
157	696	3713
158	699	3699
159	702	3690
160	708	3694
161	712	3685
162	715	3675
163	720	3673
164	724	3667
165	728	3661
166	732	3655
167	740	3667
168	745	3663
169	750	3665
170	756	3669
171	762	3668
172	765	3660
173	768	3649
174	771	3639
175	776	3636
176	781	3635
177	785	3626
178	788	3618
179	794	3617
180	796	3602
181	799	3594
182	804	3591
183	812	3603
184	816	3595
185	823	3603
186	835	3630
187	841	3635
188	849	3646
189	856	3653
190	869	3684
191	876	3687
192	880	3683
193	885	3678
194	894	3694
195	902	3704
196	908	3705
197	920	3730
198	924	3722
199	930	3723
200	936	3720
201	941	3717
202	947	3719
203	955	3726
204	959	3721
205	964	3716
206	972	3726
207	977	3721
208	982	3718
209	986	3710
210	989	3701
211	995	3701
212	1002	3705
213	1006	3695
214	1011	3692
215	1014	3683
216	1026	3703
217	1029	3693
218	1033	3685
219	1037	3678
220	1041	3670
221	1045	3662
222	1050	3661
223	1059	3669
224	1066	3672
225	1072	3671
226	1076	3667
227	1086	3677
228	1090	3671
229	1094	3664
230	1101	3666
231	1105	3658
232	1120	3687
233	1123	3679
234	1131	3684
235	1140	3691
236	1145	3688
237	1153	3692
238	1157	3684
239	1163	3683
240	1168	3679
241	1171	3670
242	1175	3662
243	1182	3663
244	1198	3693
245	1208	3705
246	1212	3697
247	1221	3703
248	1225	3695
249	1231	3694
250	1235	3688
251	1240	3682
252	1246	3680
253	1251	3675
254	1259	3680
255	1265	3679
256	1272	3679
257	1276	3670
258	1279	3661
259	1283	3652
260	1287	3645
261	1292	3641
262	1298	3638
263	1302	3631
264	1306	3623
265	1312	3622
266	1316	3614
267	1321	3609
268	1325	3602
269	1329	3594
270	1333	3587
271	1340	3587
272	1343	3578
273	1347	3570
274	1352	3566
275	1356	3559
276	1361	3552
277	1366	3550
278	1371	3543
279	1374	3534
280	1378	3526
281	1382	3519
282	1386	3511
283	1389	3502
284	1395	3499
285	1398	3491
286	1401	3481
287	1404	3472
288	1409	3467
289	1425	3490
290	1431	3488
291	1437	3485
292	1442	3481
293	1446	3472
294	1449	3465
295	1454	3459
296	1458	3451
297	1461	3443
298	1475	3460
299	1480	3455
300	1539	3575
301	1549	3580
302	1560	3589
303	1564	3581
304	1571	3581
305	1576	3576
306	1582	3571
307	1590	3572
308	1594	3565
309	1600	3563
310	1605	3557
311	1611	3553
312	1616	3547
313	1620	3539
314	1624	3533
315	1629	3526
316	1633	3518
317	1637	3512
318	1643	3507
319	1647	3500
320	1651	3492
321	1657	3489
322	1661	3483
323	1667	3478
324	1671	3471
325	1675	3464
326	1679	3456
327	1684	3451
328	1689	3445
329	1697	3447
330	1703	3442
331	1708	3436
332	1712	3429
333	1716	3422
334	1720	3414
335	1726	3412
336	1731	3406
337	1735	3399
338	1742	3398
339	1747	3391
340	1751	3384
341	1756	3379
342	1761	3373
343	1766	3368
344	1776	3372
345	1781	3366
346	1786	3362
347	1791	3357
348	1795	3348
349	1801	3345
350	1806	3339
351	1810	3333
352	1815	3326
353	1818	3318
354	1821	3309
355	1825	3301
356	1829	3294
357	1832	3285
358	1836	3278
359	1843	3277
360	1847	3269
361	1851	3263
362	1856	3257
363	1859	3249
364	1863	3242
365	1867	3234
366	1871	3228
367	1876	3223
368	1880	3216
369	1886	3212
370	1890	3205
371	1894	3198
372	1897	3190
373	1901	3183
374	1904	3174
375	1909	3169
376	1913	3161
377	1916	3154
378	1920	3147
379	1924	3140
380	1932	3139
381	1936	3132
382	1940	3125
383	1943	3118
384	1947	3111
385	1952	3105
386	1955	3097
387	1959	3090
388	1965	3087
389	1969	3080
390	1973	3073
391	1976	3066
392	1980	3059
393	1986	3055
394	1991	3050
395	1996	3045
396	2001	3039
397	2004	3032
398	2008	3025
399	2012	3018
400	2015	3010
401	2018	3002
402	2022	2996
403	2026	2989
404	2029	2981
405	2032	2974
406	2036	2966
407	2039	2959
408	2043	2952
409	2046	2945
410	2049	2937
411	2054	2932
412	2058	2925
413	2062	2919
414	2066	2912
415	2070	2905
416	2073	2898
417	2077	2892
418	2080	2884
419	2083	2877
420	2087	2871
421	2091	2863
422	2094	2856
423	2097	2849
424	2101	2842
425	2105	2836
426	2108	2830
427	2112	2823
428	2118	2819
429	2121	2812
430	2124	2805
431	2128	2798
432	2134	2794
433	2138	2788
434	2143	2784
435	2150	2781
436	2154	2775
437	2161	2772
