iter	Passed	Remaining
0	135	134941
1	137	68586
2	140	46748
3	146	36450
4	150	29960
5	154	25628
6	157	22355
7	162	20148
8	166	18347
9	169	16804
10	172	15533
11	176	14555
12	179	13659
13	182	12887
14	186	12215
15	189	11666
16	192	11157
17	195	10681
18	198	10256
19	201	9875
20	204	9541
21	208	9247
22	210	8962
23	213	8696
24	217	8467
25	220	8265
26	223	8056
27	227	7895
28	231	7741
29	234	7575
30	237	7425
31	241	7295
32	244	7177
33	248	7055
34	251	6938
35	254	6811
36	256	6683
37	259	6570
38	262	6475
39	265	6373
40	268	6271
41	270	6177
42	274	6099
43	277	6025
44	280	5961
45	283	5888
46	287	5835
47	291	5780
48	295	5742
49	299	5693
50	303	5646
51	306	5596
52	310	5554
53	314	5504
54	317	5453
55	320	5402
56	323	5352
57	327	5317
58	331	5287
59	336	5268
60	339	5231
61	343	5197
62	347	5162
63	349	5114
64	353	5078
65	356	5041
66	359	5005
67	363	4977
68	365	4935
69	368	4896
70	371	4857
71	373	4820
72	377	4795
73	380	4766
74	383	4732
75	388	4720
76	391	4688
77	394	4668
78	398	4645
79	402	4633
80	406	4615
81	410	4592
82	411	4548
83	414	4519
84	417	4490
85	420	4464
86	423	4445
87	426	4418
88	429	4391
89	431	4364
90	434	4338
91	438	4323
92	440	4298
93	443	4273
94	445	4247
95	448	4221
96	451	4204
97	454	4183
98	457	4161
99	460	4140
100	462	4119
101	466	4109
102	470	4101
103	473	4081
104	476	4061
105	480	4054
106	484	4042
107	487	4024
108	490	4006
109	493	3996
110	497	3985
111	500	3969
112	503	3949
113	505	3931
114	508	3914
115	511	3898
116	513	3877
117	516	3860
118	518	3842
119	521	3824
120	525	3820
121	528	3801
122	530	3785
123	533	3768
124	536	3752
125	539	3743
126	542	3727
127	545	3715
128	549	3707
129	552	3695
130	555	3684
131	558	3671
132	561	3658
133	564	3645
134	566	3631
135	570	3621
136	573	3610
137	576	3598
138	578	3586
139	581	3571
140	584	3559
141	586	3542
142	589	3531
143	591	3517
144	594	3506
145	597	3493
146	600	3484
147	603	3473
148	606	3462
149	608	3449
150	611	3436
151	614	3426
152	617	3417
153	620	3408
154	623	3398
155	626	3387
156	629	3381
157	632	3370
158	635	3359
159	637	3347
160	639	3331
161	641	3320
162	646	3318
163	649	3311
164	652	3300
165	654	3290
166	657	3281
167	661	3275
168	664	3265
169	666	3254
170	668	3242
171	671	3231
172	674	3223
173	677	3216
174	680	3208
175	683	3200
176	686	3193
177	689	3186
178	694	3185
179	697	3176
180	702	3178
181	706	3173
182	709	3167
183	712	3159
184	715	3152
185	719	3150
186	723	3146
187	726	3139
188	730	3133
189	733	3127
190	736	3119
191	739	3113
192	744	3112
193	749	3115
194	753	3110
195	757	3105
196	760	3099
197	763	3091
198	766	3084
199	768	3075
200	771	3066
201	774	3059
202	778	3056
203	781	3049
204	784	3043
205	787	3035
206	789	3026
207	793	3021
208	796	3013
209	798	3005
210	801	2996
211	803	2987
212	806	2980
213	809	2973
214	812	2967
215	815	2959
216	818	2952
217	820	2944
218	824	2939
219	826	2931
220	829	2924
221	832	2916
222	834	2908
223	837	2901
224	840	2895
225	843	2888
226	846	2881
227	848	2873
228	851	2866
229	854	2859
230	857	2855
231	860	2849
232	863	2842
233	866	2835
234	869	2830
235	872	2822
236	874	2815
237	877	2808
238	879	2801
239	883	2797
240	885	2790
241	888	2782
242	891	2775
243	893	2768
244	896	2763
245	899	2758
246	902	2751
247	904	2743
248	907	2736
249	910	2730
250	913	2726
251	916	2720
252	919	2714
253	921	2707
254	925	2702
255	928	2699
256	932	2695
257	935	2689
258	937	2682
259	940	2676
260	943	2671
261	946	2665
262	949	2659
263	951	2653
264	954	2647
265	957	2641
266	960	2637
267	963	2632
268	966	2627
269	969	2621
270	972	2617
271	975	2611
272	978	2605
273	981	2600
274	984	2594
275	988	2592
276	993	2593
277	997	2589
278	999	2583
279	1003	2580
280	1006	2575
281	1009	2569
282	1011	2563
